Inferred num_concepts=108 from dataset.
[seed 1] epoch 49/100 loss=0.1830 (cls=0.0558 concept=1.0587 sparsity=0.2054 continuity=0.0159) train_acc=1.0000 val_loss=0.7545 (val_cls=0.6294 val_concept=1.0212 val_sparsity=0.2218 val_continuity=0.0158) val_acc=0.8654
[seed 1] epoch 50/100 loss=0.1811 (cls=0.0546 concept=1.0518 sparsity=0.2051 continuity=0.0159) train_acc=1.0000 val_loss=0.7555 (val_cls=0.6296 val_concept=1.0289 val_sparsity=0.2219 val_continuity=0.0158) val_acc=0.8665
[seed 1] epoch 51/100 loss=0.1796 (cls=0.0539 concept=1.0445 sparsity=0.2048 continuity=0.0159) train_acc=1.0000 val_loss=0.7508 (val_cls=0.6253 val_concept=1.0259 val_sparsity=0.2218 val_continuity=0.0158) val_acc=0.8699
[seed 1] epoch 52/100 loss=0.1774 (cls=0.0523 concept=1.0379 sparsity=0.2049 continuity=0.0159) train_acc=1.0000 val_loss=0.7501 (val_cls=0.6266 val_concept=1.0059 val_sparsity=0.2218 val_continuity=0.0158) val_acc=0.8621
[seed 1] epoch 53/100 loss=0.1765 (cls=0.0519 concept=1.0330 sparsity=0.2051 continuity=0.0159) train_acc=1.0000 val_loss=0.7294 (val_cls=0.6064 val_concept=1.0001 val_sparsity=0.2218 val_continuity=0.0158) val_acc=0.8587
[seed 1] epoch 54/100 loss=0.1750 (cls=0.0510 concept=1.0281 sparsity=0.2047 continuity=0.0159) train_acc=1.0000 val_loss=0.7410 (val_cls=0.6182 val_concept=0.9978 val_sparsity=0.2218 val_continuity=0.0158) val_acc=0.8687
[seed 1] epoch 55/100 loss=0.1728 (cls=0.0496 concept=1.0190 sparsity=0.2047 continuity=0.0159) train_acc=1.0000 val_loss=0.7421 (val_cls=0.6190 val_concept=1.0015 val_sparsity=0.2216 val_continuity=0.0158) val_acc=0.8643
[seed 1] epoch 56/100 loss=0.1717 (cls=0.0490 concept=1.0146 sparsity=0.2044 continuity=0.0159) train_acc=1.0000 val_loss=0.7371 (val_cls=0.6143 val_concept=0.9982 val_sparsity=0.2216 val_continuity=0.0158) val_acc=0.8665
[seed 1] epoch 57/100 loss=0.1706 (cls=0.0483 concept=1.0111 sparsity=0.2041 continuity=0.0159) train_acc=1.0000 val_loss=0.7390 (val_cls=0.6177 val_concept=0.9834 val_sparsity=0.2216 val_continuity=0.0158) val_acc=0.8665
[seed 1] epoch 58/100 loss=0.1689 (cls=0.0472 concept=1.0042 sparsity=0.2042 continuity=0.0159) train_acc=1.0000 val_loss=0.7451 (val_cls=0.6243 val_concept=0.9780 val_sparsity=0.2216 val_continuity=0.0158) val_acc=0.8654
[seed 1] epoch 59/100 loss=0.1681 (cls=0.0468 concept=1.0007 sparsity=0.2042 continuity=0.0159) train_acc=1.0000 val_loss=0.7478 (val_cls=0.6267 val_concept=0.9814 val_sparsity=0.2215 val_continuity=0.0158) val_acc=0.8621
[seed 1] epoch 60/100 loss=0.1675 (cls=0.0466 concept=0.9978 sparsity=0.2038 continuity=0.0159) train_acc=1.0000 val_loss=0.7513 (val_cls=0.6302 val_concept=0.9814 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8610
[seed 1] epoch 61/100 loss=0.1665 (cls=0.0461 concept=0.9928 sparsity=0.2038 continuity=0.0159) train_acc=1.0000 val_loss=0.7440 (val_cls=0.6243 val_concept=0.9669 val_sparsity=0.2214 val_continuity=0.0158) val_acc=0.8598
[seed 1] epoch 62/100 loss=0.1652 (cls=0.0452 concept=0.9887 sparsity=0.2036 continuity=0.0159) train_acc=1.0000 val_loss=0.7397 (val_cls=0.6209 val_concept=0.9583 val_sparsity=0.2214 val_continuity=0.0158) val_acc=0.8665
